
23680, 23679
23585, 23583
23655, 23591
23579, 23644
23972, 24031
23340, 23324
23346, 23324
23345, 23324
23528, 23524
23881, 23882
23456, 23437
23624, 23625
23449, 23437
23586, 23579
23366, 23399
23576, 23577
23668, 23583
23644, 23655
23594, 23591
23432, 23323
23498, 23502
23744, 24574
23745, 23746
23389, 23366
23449, 23527
23586, 23594
23867, 23869
23644, 23583
23408, 23409
23579, 23591
23591, 23655
23418, 23411
23663, 23631
23978, 24029
23470, 23495
23579, 23583
23731, 23748
23661, 23630
23644, 23591
23347, 23350
23596, 23597
23960, 23963
23818, 23791
23753, 23820
23686, 23687
23708, 23679
23841, 23845
23985, 24015
23608, 23609
23324, 23340
23857, 23375
23457, 23492
23672, 23633
23741, 23735
23830, 23791
23660, 23629
23762, 23763
23940, 23941
23886, 23887
23685, 23686
23324, 23741
23608, 23613
